               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.019252,            0.009008,           0.0011966,             0.81952,             0.68587,             0.73346,             0.53087,            0.029132,           0.0088167,           0.0027944,            0.001189,            0.001189,            0.001189
                  91,            0.019302,           0.0093552,           0.0014441,             0.79924,             0.68654,             0.72639,             0.52601,            0.028605,           0.0089409,           0.0029914,             0.00109,             0.00109,             0.00109
                  92,            0.019102,           0.0097834,          0.00099213,              0.7639,             0.72898,             0.72477,             0.52334,            0.028029,           0.0091604,            0.002693,            0.000991,            0.000991,            0.000991
                  93,              0.0188,           0.0093657,           0.0011377,             0.76793,             0.72691,             0.72414,             0.52312,            0.028029,           0.0093155,           0.0023153,            0.000892,            0.000892,            0.000892
                  94,            0.019199,           0.0090554,           0.0014281,             0.74003,             0.70485,              0.7234,             0.51814,            0.028495,           0.0092926,           0.0022387,            0.000793,            0.000793,            0.000793
                  95,            0.019109,           0.0090521,          0.00084308,             0.75146,             0.69065,             0.71399,             0.51817,            0.028617,           0.0094849,           0.0022234,            0.000694,            0.000694,            0.000694
                  96,            0.019794,           0.0089073,          0.00085061,              0.7916,             0.65691,             0.71632,             0.50996,            0.028513,           0.0093258,            0.001912,            0.000595,            0.000595,            0.000595
                  97,            0.018867,           0.0089924,           0.0015122,             0.72806,             0.71373,             0.72308,             0.52329,            0.028656,             0.00916,            0.002186,            0.000496,            0.000496,            0.000496
                  98,            0.018197,           0.0092211,          0.00086959,             0.77444,             0.67333,             0.72373,             0.52906,            0.028201,           0.0092518,           0.0023026,            0.000397,            0.000397,            0.000397
                  99,            0.019471,           0.0092995,           0.0012007,             0.77062,             0.67264,             0.72414,             0.52157,            0.028082,           0.0093025,           0.0023115,            0.000298,            0.000298,            0.000298
