#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
217,Carlos Estevez,608032,14542,14542,9294,*03mnq*,FA,RP,RP,Estevez,Carlos,,
218,Edwin Diaz,621242,14710,14710,9376,*02my5*,NYM,RP,RP,Diaz,Edwin,Díaz,Edwin
219,Manuel Margot,622534,14712,14712,8936,*02i3d*,FA,OF,OF,Margot,Manuel,,
220,Paul Blackburn,621112,14739,14739,9578,*02mwd*,NYM,SP,SP,Blackburn,Paul,Blackburn,Paul
221,Kyle Farmer,571657,14813,14813,9537,*0312h*,COL,2B/3B,2B/3B,Farmer,Kyle,Farmer,Kyle
222,Buck Farmer,571656,14814,14814,8867,*02n6j*,FA,RP,RP,Farmer,Buck,,
223,Michael Lorenzen,547179,14843,14843,9028,*02hir*,FA,SP,SP,Lorenzen,Michael,,
224,Joe Mantiply,573009,14857,14857,9450,*03mle*,ARI,RP,RP,Mantiply,Joe,Mantiply,Joe
225,Sam Moll,594580,14874,14874,9498,*0311r*,CIN,RP,RP,Moll,Sam,Moll,Sam
226,Jon Gray,592351,14916,14916,8653,*02bxv*,TEX,SP,SP,Gray,Jon,Gray,Jon
227,German Marquez,608566,15038,15038,9295,*03amq*,COL,SP,SP,Marquez,German,Márquez,Germán
228,Trevor Gott,641627,15046,15046,9074,*0316r*,FA,RP,RP,Gott,Trevor,,
229,Austin Voth,608723,15047,15047,9484,*0316l*,FA,RP,RP,Voth,Austin,,
230,Dom Nunez,624513,15055,15055,10673,*03125*,CLE,DH,C,Nunez,Dom,Nuñez,Dom
231,Rob Zastryzny,642239,15094,15094,9435,,CHC,RP,RP,Zastryzny,Rob,Zastryzny,Rob
232,Ben Heller,621294,15100,15100,9426,*031gh*,CHC,RP,RP,Heller,Ben,Heller,Ben
233,Ryan McMahon,641857,15112,15112,9726,*0310n*,COL,3B,3B,McMahon,Ryan,McMahon,Ryan
234,Tyler Danish,641501,15126,15126,9377,,COL,RP,RP,Danish,Tyler,Danish,Tyler
235,Mitch Garver,641598,15161,15161,9549,*031cd*,SEA,C,C,Garver,Mitch,Garver,Mitch
236,Tim Anderson,641313,15172,15172,8976,*03110*,FA,SS,SS,Anderson,Tim,,
237,Adam Frazier,624428,15223,15223,9387,*0316t*,FA,2B/OF,2B/OF,Frazier,Adam,,
238,Mike Tauchman,643565,15274,15274,9698,*0312v*,CHW,OF,OF,Tauchman,Mike,Tauchman,Mike
239,Andrew Heaney,571760,15423,15423,8670,*02mv0*,FA,SP,SP,Heaney,Andrew,,
240,Kris Bryant,592178,15429,15429,8644,*01ubo*,COL,DH,1B/OF,Bryant,Kris,Bryant,Kris
241,Matthew Boyd,571510,15440,15440,9087,,CHC,SP,SP,Boyd,Matthew,Boyd,Matthew
242,Hunter Renfroe,592669,15464,15464,8968,*03022*,KC,OF,1B/OF,Renfroe,Hunter,Renfroe,Hunter
